,titles,reviews,date_of_review,date_of_travel,locations,destinations,class,number_of_reviews,ratings
0,A real mixed bag,"we had a round trip airfare that was just fine going to D C, but the return was problematic at best.  leaving DC was delayed close to an hour because the flight from Charlotte was late, no explanation was provided and many of the people on our flight had connections out ofâ", Oct 9,19-Aug,"Green Valley, Arizona",Tucson - Washington DC,Economy,228,3
1,Great flight!,"Our flight was on time and the flight very comfortable. The staff was very professional. The only issue was waiting for our luggage in Charlotte, but that is nothing unusual for that airport.", Oct 9,19-Sep,"Lenoir, North Carolina",Charlotte - Bangor,Economy,83,5
2,Very good flights,Had a very good flight and the flight attendants were very attentive. The flight was smooth and on time!, Oct 9,19-Sep,"Navarre, Florida",Pensacola - Charlotte,Economy,180,4
3,Poor performance!,"For starters, our flight to Aruba was cancelled less than 12 hours prior to departure for 'mechanical' issues that the agent we spoke to backtracked and tried to sell off as weather related (well, you see, there is weather issues out there - is what she said). After that, theyâ", Oct 9,19-Sep,,Spokane - Aruba,Premium Economy,4,2
4,Onboard baggage,"I found out quickly what basic economy is. It means you get treated as second class citizens. This was a 2 stop trip traveling both ways. At each gate, we were met with agents who told us we had to stow one our bags, because they overhead spaces were getting limited. Evenâ", Oct 9,19-Sep,"Kemah, Texas",Houston - Fort Myers,Economy,3,1
5,Poor Service,The flight attendants on this flight were not professional had a small accident with spilling drink and literally 3 of them stepped over it at that point I decided to clean up myself, Oct 9,19-Sep,"Chicago, Illinois",Phoenix - Chicago,Premium Economy,2,3
6,GREAT EXPERIENCE,"I have never had any problems with American.  They have always been very helpful, customer service is great.", Oct 9,19-Aug,"Aubrey, Texas",Dallas - Las Vegas,Premium Economy,19,5
7,Economy Class AA,"In my opinion better than United Airlines or British Airways. Check in procedures went smooth. Crew correct. Food not bad on the intercontinental flight. I Would not recommend flight SLC-Amsterdam with 2 stops. Otherwise I would consider flying with AA again, but now KLM orâ", Oct 9,19-Sep,"Uithoorn, The Netherlands",Amsterdam - Salt Lake City,Economy,5,3
8,Crazy check in but ok flight,"Because it's an international flight, I can't check in on line and get boarding pass.  I had to go to the kiosk at the airport.  Issue was I was told at the Kiosk to ask for assistance.  Since no one was around, I had to go to a counter.  There were a few staff milling around onâ", Oct 9,19-Sep,"Los Angeles, California",London - Phoenix,Economy,13,4
9,EMB140/145,The route from BWI to ORD flies this appalling small cramped model. It should have been retired years ago. I would challenge the designer of the seats to fly this model regularly as punishment. , Oct 9,19-Oct,,Baltimore - Chicago,Economy,2,1
10,Going between Miami - Medellin - Miami,"This year weâ€™ve gone to Medellin twice, so four passes back and forth and all have been excellent, attentive and courteous service with no delays in service.  Also, American has a very convenient route itinerary for connecting flights through Miami.  The food was very good andâ", Oct 9,19-Oct,"Cary, North Carolina",Miami - Medellin,Business Class,29,5
