,titles,reviews,date_of_review,date_of_travel,locations,destinations,class,number_of_reviews,ratings
0,Good airline especially for the price but China hassle ruins the potential,"China Southern is a great airline for the price, with good planes, good service, and ok food.  The negatives were  the Wingtips Lounge in JFK which was awful, but mostly the hassle in Wuhan China of changing planes. There is no ""internal"" transfer available, at least to‚", Sep 2019,19-Sep,"Granite Falls, North Carolina",New York City - Bangkok,Business Class,22,4
1,Broke my LCD TV and didn't pay me,"I sent 50"" inch LCD TV from San Francisco to Kathmandu. When TV was opened, Screen was broken because it was mishandled. I asked china souther airlines customer service for reliability but they got away easily saying that it might have been broken because of bad weather, road‚", Sep 2019,19-May,,San Francisco - Kathmandu,Economy,3,1
2,"The CZ378, MEX-YVR-CAN","This flight was part of my trip from MEX to DEL.   The CZ378 flight takes the following route, MEX-YVR-CAN i.e. Mexico City - Vancouver - Guangzhou, where there is a 1 hour stop at YVR for refueling and cleaning purpose. The check-in was quite easy, very less passengers boarding‚", Sep 2019,19-May,,Mexico City - Guangzhou,Economy,14,5
3,Too easy,It was the bargain price of the flights with China Southern that first convinced me it was time for my long awaited China holiday. It was the great service that made me happy with my choice. I had a stopover in Guangshou but my bag was easily checked through from Auckland to‚, Sep 2019,19-Aug,"Hamilton, New Zealand",Auckland - Beijing,Economy,11,4
4,Great flight,"I have flown many times with China Southern Airlines and whilst generally good service does vary a little. My last flight was very good, checkin excellent, seating comfortable for an overnight flight. The two meals served were both of good quality and very tasty. Cabin service‚", Sep 2019,19-Aug,"Perth, Australia",Perth - Guangzhou,Economy,121,4
5,Hours spent waiting.,"I spent 3 hours waiting to get an overnight visa and pass through security at Guangzhou airport.Then it took 35 minutes to be transported to the ""free"" hotel in a filthy van. The flight was fine except for 45 minute delays on all 4 legs of my 2 flights.I won't fly with them‚", Sep 2019,19-Apr,"Barcelona, Spain",Brisbane - Guangzhou,Economy,3,3
6,Surprisingly good,"This airline was not initially on my radar, but we ended up flying with them primarily as their flight arrival and departure times added almost 2 extra days onto our trip without us having to pay to stay somewhere. They were also the cheapest, and we were able to pre-book our‚", Sep 2019,19-Aug,,Sydney - Paris,Economy,18,5
7,Mr,"The plane and seat is good, the service good, the flight attendant were friendly, the price is not expensive, there were nice food and plenty of drinking. Refill drink as well.  There are some movie abs music during you play it doesn‚Äôt make you feel boring. Good fly and service", Sep 2019,19-Sep,"Phnom Penh, Cambodia",Phnom Penh - Shanghai,Economy,23,5
8,Just okay,The flight was on time..economy.class pretty much same as most airlines..food ok..staff ok..delay in hangzhou for connecting flight to Beizing.., Sep 2019,19-Apr,"Forster, Australia",Sydney - Hangzhou,Economy,15,2
9,Delayed from start next one cancelled,Went on a holiday to China flight was 3 hours late departing food wasn‚Äôt great no real western choice got to first destination our connection had been cancelled was supposed to start a tour so missed first night accommodation and couldn‚Äôt get flight till next day was sent to 4‚, Sep 2019,19-Jun,"Melbourne, Australia",Melbourne - Shenzhen,Economy,4,1
10,"Comfortable, with room for improvement","This was the first time we had tried a long distance flight with China Southern.  Seats were comfortable with ample leg room, and the service was good.  The food was OK but in comparison with rival airlines could be better.  The big gripe was the inflight entertainment.  As this‚", Sep 2019,19-Jul,"Singapore, Singapore",Guangzhou - Rome,Economy,37,4
11,Better than anticipated,"I was a bit unsure what to expect with the China Southern as I had never flow with them before but would have to say I was suitably impressed.  The staff were friendly, the food was good (they served Asian and western food) and we had no issues at all.", Sep 2019,19-Aug,"Brisbane, Australia",Sydney - Guangzhou,Economy,4,4
12,Lots of Leg Room,Flew China Southern for the first time Happy with the leg room. Food Ok service efficient and friendly.   would use them again, Sep 2019,19-Sep,,Sydney - New Delhi,Economy,2,4
13,Good service,"Good service , decent leg room. Lots of food and drinks even on short flights . Would use again .clean and well maintained", Sep 2019,19-Aug,,Beijing - Shanghai,Economy,34,4
14,Would definitely fly again with China Southern. I was a bit worried before the flight but unfounded.,"Very good flight, friendly staff and great service. We had to be diverted due to bad weather and we were well looked after and given good information. Plenty of leg room, as comfortable as could be expected.", Sep 2019,19-Aug,,Melbourne - Guangzhou,Economy,4,4
15,Value for money,This was along flight with a short stopover then on to Vietnam- on checkin we were able to up grade to Premium Economy for a very reasonable cost which we did - so always ask if they are available- depends on aircraft - service is great and there is always food /snacks‚, Sep 2019,19-Aug,"Christchurch, New Zealand",Christchurch - Guangzhou,Economy,17,5
16,Flight from Auckland to Guangzhou to Tokyo return,Staff from Checkin to Flight attendants were kind and helpful. The food was great and the seats were very comfortable., Sep 2019,19-Aug,,Auckland - Tokyo,Economy,2,4
17,Comfortable flight even though a flew econo,Part of the trip I had seats open on both sides of me. I had no complaints and the flight went without delays., Sep 2019,19-Jun,"Pompano Beach, Florida",Mexico City - Manila,Economy,2,5
18,Always a pleasure,Since flying with China Southern a few years ago I just simply will not choose another airline when traveling to see my daughter and grandchild in Thailand. I go once or twice a year and the comfort and service are hard to beat., Sep 2019,19-Feb,"Mobile, Alabama",Los Angeles - Chiang Mai,Economy,3,5
19,Very smooth journey n the stewards stewadess are very polite.,I love flying China southern Airline cos the service by the flight steward n stewardess is very polite n careful.You can have good food n taste. delicious.The flight to Guangzhou is very smooth as the pilot is a very experience.n transit to guiyang is the same. Thank you to the‚, Sep 2019,19-Aug,"Penang Island, Malaysia",Penang - Guiyang,Economy,34,5
20,Pleasantly impressed,"Due to problems at HK we re-routed via Shenzhen, airport is top notch and I was a little dubious about the quality of the flight experience with Southern China Airlines but I cannot fault the way we were looked after in a new aircraft by very capable crew, I will not hesitate to‚", Sep 2019,19-Aug,,Shenzhen - Dalian,Economy,2,5
21,I got sick because of the food provided during the flight,"Be careful with the food provided during the flight, I got really sick when I came back home...horrible! Otherwise, the flight was ok.", Sep 2019,19-Mar,,Cebu Island - Paris,Economy,2,2
22,Terrible costumer service,"I had a 10 hour layover in guangzhou and was planning on going through costums and then chill out and have some dinner. When i got to the bag dropoff they told me i couldnt check in until 1,5 hours before my connecting flight (domestic transit) and had to wait for 8 hours in the‚", Sep 2019,19-Jan,,Amsterdam - Christchurch,Economy,2,1
23,Economy class but comfortable!,"Seats are comfortable. Attendants do a great job with keeping the bathroom clean. Meals were hot but very Chinese. variety was lacking. Landing was very smooth with China Southern, no jolting. ", Sep 2019,19-Jul,,New York City - Guangzhou,Economy,8,4
24,Father and daughter travel with south China airlines,"Clean and tidy newer plane . Service great - food great - plane smooth as - good selection of movies and entertainment . Pretty good stuff - everybody on the crew almost is bi lingual /,multi lingual .  Fly with them again ?   Yes", Sep 2019,19-Sep,"Auckland, New Zealand",Auckland - Shanghai,Economy,119,4
25,How good is China Southern,"Just flew from Brisbane Australia to Haneda Japan with an overnight stopover in Guangzhou. Plane was about 5 mins late taking off but no biggie, staff both on ground and in the air were great and accommodating.  As soon as werewere at flight level drinks were served and then a‚", Sep 2019,NA,,Brisbane - Tokyo,Economy,2,5
26,Worst Airline on the Planet,Original flights were booked on Cathay Pacific (great airline) and we had premium comfort seats. Due to protests in Hong Kong our Cathay Pacific return flights were cancelled and re-booked on China Southern through Guangzhou Baiyun airport and on to JFK in New York.  While they‚, Sep 2019,19-Aug,South Carolina,Siem Reap - New York City,Economy,84,1
27,Not impressed,"Brisbane to Frankfurt route via Guangzhou had a ‚Äòstopover‚Äô in addition listed in tiny print.  This turned out to be a domestic flight on arrival in Guangzhou up to Changsa - thus involving a 24 hour visa on arrival, immigration interview, fingerprinting, retina scanning, a real‚", Sep 2019,19-Jul,Au,Brisbane - Frankfurt,Economy,16,1
28,leg room,A comfortable trip with an up and coming airline. somehow they mange to give every passenger a little extra leg room and over a 11 hour flight this little bit of comfort is appreciated. food is average to good and has varied selections aimed at western eaters., Sep 2019,19-Aug,"Hanoi, Vietnam",Auckland - Hanoi,Economy,57,4
29,Better than I expected,The plane was clean and in good repair. The staff were pleasant. There was a good choice of movies and the food was better than I expected. The toilets were serviced most of the time. Overall my experience rated much better than I had anticipated.  My favourite airline in still‚, Sep 2019,19-Aug,North Island,Auckland - Guangzhou,Economy,35,3
30,China Southern Airlines,"Good value for money  Any queries done Hesitate to contract them Although I booked through a third party and found difficult to log on their site to check-in and book seats, I emailed them and got our seats free with window  Check in at desk was easy Although flight was via‚", Sep 2019,19-Sep,"Grimsby, United Kingdom",London - Manila,Economy,21,5
31,Great service,China Southern Airlines was great. The employees did a fantastic job making people comfortable. I would definitely use them again., Sep 2019,19-Apr,,Seattle - Kathmandu,Economy,5,5
