,titles,reviews,date_of_review,date_of_travel,locations,destinations,class,number_of_reviews,ratings
0,Cabin crew great so called connection flights just dont connect,"Just flew Lufthansa LHR via FRA to VCE. All four of our Lufthansa flights delayed, their connection times via the hideous atrocity that is Frankfurt airport ridiculous, even without delays you would struggle to make your connecting flight! With all the delays just impossible‚", Oct 7,19-Oct,london uk,London - Venice,Economy,326,1
1,Extremely tight seating,"I rated a 2 only because the staff and service is good.... I would rate a 0 for the seats and extreme lack of space.  We flew in economy however we chose to pay the extra fee for exit row seats.  We sat in 28 J/K... the seats are terrible.  I'm 5'6"" and my knees touched the seat‚", Oct 7,19-Sep,"Toronto, Canada",Toronto - Munich,Economy,23,2
2,Time flies with Lufthansa,"We had a round-trip flight from New York JFK to Naples, Italy.  Airplanes are new and very clean.  Staff was super friendly and willing to go above and beyond your expectations.  The food was actually pretty yummy.  Flights were on time.  It was my first time flying Lufthansa‚", Oct 7,19-Sep,,New York City - Naples,Economy,1,5
3,First Lufthansa experience,Lufthansa were good - I had heard a lot about them and was not disappointed. There was a delay though in Manchester that was due to an airport issue but the Lufthansa staff handled all persons with connecting flights beautifully. I made it for mine but the few who missed were‚, Oct 7,19-Sep,,Manchester - Nairobi,Economy,14,4
4,A very good experience ,Planes are new and clean.   Staff are friendly and professional.   Meals are very good with options.   We used to and from Toronto to Munich.   Would definitely rebook with Lufthansa for future trips. , Oct 7,19-Oct,,Munich - Toronto,Business Class,105,5
5,Booooring and tasteless food,"Two flights from Naples to Stockholm, via M√ºnich. Both flights were delayed for different  reasons, Lufthansa was not to blame as they were sort of ""force majeure""   However the meals, lunch/dinner, were really tasteless boring and outdated - and exactly the same on both‚", Oct 7,19-Sep,,Naples - Stockholm,Business Class,4,2
6,Lost proprety in plane stolen by Lufthansa,"The  Lufthansa ""lost and found service"" should be renamed in LOST AND STOLEN BY LUFTHANSA. I forgot my laptop in Lufthansa plane in the chair pocket and it was not find.the only answer I got is that they did not find the item. A standard answer. Lufthansa aircraft staff is a‚", Oct 6,19-Aug,,Frankfurt - Kiev,Economy,1,1
7,"Good service, reasonable food, and tight spacing","A little chaotic boarding, as there seemed to be no system. However, they started 40 minutes before the flight so it wasn't bad. Very little room betwen seats. It's ok for an hour flight but transoceanic is tough with so little space. The seat ahead has a screen, with lots of‚", Oct 6,19-Sep,,Venice - Boston,Economy,27,4
8,Great service from a flight attendant,One of the male flight attendants went out of his way to move to sit closer the my partner.  My partner had recently had a knee replacement and fell the day before the flight.  He asked several people if they would change seats with me.  He was outstanding.   Not only did he‚, Oct 6,19-Oct,,Munich - Vancouver,Economy,1,5
9,A380 first experience,"My first time flying this big bird and was economy class. The basic service was really good, the food was excellent. Flight attendants were great. Good selection of movies to watch during the flight. Seats are ok. On my way back from Amsterdam ( connection from Cairo )", Oct 6,19-Sep,"Coral Gables, Florida",Miami - Cairo,Economy,44,5
10,A 380,Very comfortable fligt with the A380. Really nothing to complain about. Sorry the the A380 will no longer be built., Oct 6,19-Sep,"Bonn, Germany",Shanghai - Frankfurt,Business Class,64,5
11,No Service and Poor App Experience,Very basic planes and absolutely zero service personnel to be found in airports.  Planes were delayed so had to run to connections and then my luggage got lost. Again - no customer service to speak to.  Tried to use the LH app and more than once got the message 'Lufthansa Group‚, Oct 6,19-Oct,"Brisbane, Australia",Zurich - Brussels,Premium Economy,14,1
12,watch your weight,"in over 10 years of business,travel. lufthansa is the only airline checking how much weight is your carry on luggage. so if you have some flyers in your check in luggage on top of your laptop and such expect to pay an extra 250bucks to take them along. defintely wouldnt advice‚", Oct 5,19-Oct,,Beijing - Frankfurt,Economy,1,1
13,Time to sleep,"Lufthansa Nonstop from Frankfurt to San Diego is a great route.  It gives you time to sleep after dinner, catch one to 2 movies, and the lay flat bed is comfortable. The food was good, the wines were also good, nice selection. This flight allows you to arrive rested and gives‚", Oct 5,NA,"San Diego, California",Frankfurt - San Diego,Business Class,40,5
14,London Hong Kong London,"I'm a big fan of Premium Economy sure it's not business class but for the right price I think it's worth paying for the extra space, I've used Premium E on a few airlines.. I used Lufthansa between LHR - MUC - HKG & return via FRA.. Check in at LHR quick polite I could use the‚", Oct 5,19-Oct,"Greater London, United Kingdom",London - Hong Kong,Premium Economy,281,4
15,LH flight,The flight was delayed by almost 5 hours. Lufthansa flight agents and flight attendants often are very rude. Very bad experience. Frankfurt airport is a nightmare. Very disappointed. Because of Lufthansa we missed our important event., Oct 5,19-Sep,"Seattle, Washington",Seattle - Frankfurt,Economy,4,3
16,Good service but too little time to connect in Frankfurt,"We recently flew Lufthansa from Sevilla to Frankfurt to connect to an Air Canada flight to Toronto (Lufthansa and Air Canada are Star Alliance partners). The flight was slightly late leaving Sevilla, leaving us with less than 45 minutes to be bused to the terminal, clear‚", Oct 5,19-Sep,"Hamilton, Canada",Seville - Frankfurt,Economy,73,4
17,Most efficient way to fly to any destination in Europe from Denver.,"Living in Denver, Colorado, Lufthansa offers the most convenient flight schedules to anywhere in Europe. There are 2 direct flights each day from Denver, one non-stop to Munich and another to Frankfurt. British Airways offers a daily non-stop to London from Denver, which is also‚", Oct 5,19-Sep,"Denver, Colorado",Denver - Vienna,Economy,19,5
18,Sooo comfortable!,"Crew was very concerned with care of passengers- we were served good food and snacks, good selection of in-flight movies, easy to rest on the flight, lots of legroom, restrooms were accessible and clean. ", Oct 5,19-Jul,"Fort Worth, Texas",Dallas - Edinburgh,Business Class,149,5
19,never take a connection night flight with Lufthansa in Frankfurt airport,I had a connection flight in Frankfurt airport with a short time between flights; my previous Lufthansa flight arrived 25min later in Frankfurt; the flight attendants and Lufthansa personnel said to run to the gate that the plane was waiting for us; I run like crazy (as well as‚, Oct 5,19-Oct,"Lisbon, Portugal",Frankfurt - Lisbon,Economy,41,1
